date,all_calls,inbound_calls,outbound_calls,voicemails,missed,abandoned,forwarded,cancelled,minutes,acd,inbound_minutes,outbound_minutes,callbacks_requested,callbacks_completed,callbacks_cancelled,callbacks_connected,callbacks_unconnected,missed_voicemails,other_voicemails,missed_transferred,asa,handled,answered,answered_transferred,message,spam,in_queue_voicemail,dtmf_voicemail,direct_to_voicemail,transfer_voicemail,outbound_connected,connected_transferred,transferred_out,transferred_in,dtmf_transfer,auto_transfer,router_transfer,forward_transfer,timezone,ringing_duration,avg_ringing_duration,hold_duration,avg_hold_duration,talk_duration,avg_talk_duration,queued_duration,avg_queued_duration,callback_agent_missed_rejected,direct_callback_agent_missed_rejected,direct_callback_cancelled,scripted_ivr_transfer,average_percent_ai_talk_time
2026-01-05,969,529,440,52,76,95,0,51,2772.4,4.2,1934.3,838.1,0,0,0,0,0,14,37,8,0.2,663,274,6,0,2,0,0,37,0,389,9,69,58,0,46,0,0,US/Pacific,68.49,0.13,142.14,0.21,2624.07,3.96,45.63,0.09,0,0,0,0,22.4
2026-01-06,916,446,470,32,59,65,0,36,2801.6,4,1874.5,927,0,0,0,0,0,13,19,8,0.2,693,259,8,0,0,0,0,19,0,434,13,73,55,0,44,0,0,US/Pacific,63.64,0.14,186.35,0.27,2606.83,3.76,27.69,0.06,0,0,0,0,21.27
2026-01-07,961,417,544,48,82,61,0,44,2161.8,3.1,1247.4,914.4,0,0,0,0,0,16,31,9,0.2,690,190,6,0,1,0,0,31,0,500,17,84,64,0,52,0,0,US/Pacific,55.76,0.13,167.02,0.24,1990.25,2.88,29.91,0.07,0,0,0,0,20.37
2026-01-08,762,413,349,29,55,66,0,27,2416.4,4.4,1655.9,760.5,0,0,0,0,0,14,14,5,0.2,553,231,9,0,2,0,0,14,0,322,18,77,55,0,45,0,0,US/Pacific,51.29,0.12,203.58,0.37,2203.6,3.98,31.94,0.08,0,0,0,0,22.05
2026-01-09,859,505,354,39,79,103,0,28,2365.7,4.3,1415.1,950.6,0,0,0,0,0,14,25,8,0.2,549,223,5,0,0,0,0,25,0,326,19,107,83,0,75,0,0,US/Pacific,59.29,0.12,223.87,0.41,2139.83,3.9,42.51,0.08,0,0,0,0,21.64
2026-01-10,141,89,52,12,17,14,0,6,750.1,8.7,306.3,443.9,0,0,0,0,0,2,10,0,0.2,86,40,2,0,0,0,0,10,0,46,3,13,9,0,8,0,0,US/Pacific,12.57,0.14,19.2,0.22,730.88,8.5,7.58,0.09,0,0,0,0,19.35
2026-01-11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,US/Pacific,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0
2026-01-12,833,515,318,55,71,112,0,38,2277.5,4.5,1569.2,708.3,0,0,0,0,0,13,42,7,0.2,503,223,6,0,1,0,0,42,0,280,12,91,78,0,66,0,0,US/Pacific,74.83,0.15,225.3,0.45,2043.45,4.06,54.58,0.11,0,0,0,0,20.51
2026-01-13,865,411,454,27,50,62,0,52,2632.7,4.2,1763,869.6,0,0,0,0,0,11,15,5,0.2,633,231,8,0,2,0,0,15,0,402,13,77,63,0,51,0,0,US/Pacific,65.64,0.16,189.71,0.3,2293.75,3.62,25.54,0.06,0,0,0,0,20
2026-01-14,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,US/Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0
